图书名字,作者,引述,出版社,发行日期,价格,评分,评价人数,图书详细链接
《麦田里的守望者》,[美国] J. D. 塞林格,反英雄霍尔顿的一生,译林出版社,2007-3,28.00元,8.0,41085人评价,https://book.douban.com/subject/2053249/
《无声告白》,[美] 伍绮诗,莉迪亚死了，可他们还不知道,江苏凤凰文艺出版社,2015-7,35.00元,8.2,40489人评价,https://book.douban.com/subject/26382433/
《嫌疑人X的献身》,（日）东野圭吾,东野说，这是最纯粹的爱情,南海出版公司,2009年11月,19.80元,9.0,37101人评价,https://book.douban.com/subject/4117922/
《山楂树之恋》,艾米,明净单纯,江苏文艺出版社,2007-9,25.00元,7.8,40773人评价,https://book.douban.com/subject/2243213/
《华胥引（全二册）》,唐七公子,现实不如梦中的圆满,现代出版社,2011-1,39.80元,8.5,38423人评价,https://book.douban.com/subject/5916880/
《地下铁》,幾米,黑暗世界中的点滴亮光,辽宁教育出版社,2002-2,32.00元,8.3,39101人评价,https://book.douban.com/subject/1056733/
《且听风吟》,[日] 村上春树,我们通过孤独与世界沟通,上海译文出版社,2001-8,11.80元,7.7,41027人评价,https://book.douban.com/subject/1039752/
《钢铁是怎样炼成的》,[苏] 尼·奥斯特洛夫斯基,激情燃烧的岁月，特殊年代的经典,译林出版社,1996-10,20.00元,7.6,41350人评价,https://book.douban.com/subject/1013502/
《红玫瑰与白玫瑰》,张爱玲,蚊子血还是饭黏子？,花城出版社,1996-06,12.80元,8.4,38274人评价,https://book.douban.com/subject/1014278/
《人生若只如初见》,安意如,是“何事秋风悲画扇”，不是西风,天津教育出版社,2006-8,23.80元,7.3,42215人评价,https://book.douban.com/subject/1856285/
《人间失格》,太宰治,令人无从怜悯的绝望,吉林出版集团有限责任公司,2009年9月,16.00元,8.3,38587人评价,https://book.douban.com/subject/4011670/
《鬼吹灯之精绝古城》,天下霸唱,盗墓祖师名不虚传,安徽文艺出版社,2006,25.0,8.1,38583人评价,https://book.douban.com/subject/1882933/
《安徒生童话故事集》,（丹麦）安徒生,远不是童话那么简单,人民文学出版社,1997-08,25.00,9.1,35082人评价,https://book.douban.com/subject/1046209/
《呐喊》,鲁迅,新文学的第一声呐喊,人民文学出版社,1973年3月,0.36元,8.8,36008人评价,https://book.douban.com/subject/1449351/
《小团圆》,张爱玲,自传性作品，团圆只存在幻灭之中,北京十月文艺出版社,2009-4,28.00,7.6,39908人评价,https://book.douban.com/subject/3616310/
《泡沫之夏》,明晓溪,霸道总裁爱上我,新世界出版社,2006-3,20.00元,7.0,41845人评价,https://book.douban.com/subject/1596305/
《会有天使替我爱你》,明晓溪,理想化,新世界出版社,2005-5,20.00元,6.8,42847人评价,https://book.douban.com/subject/1291760/
《1984》,[英] 乔治·奥威尔,栗树荫下，我出卖你，你出卖我,北京十月文艺出版社,2010-4-1,28.00元,9.3,34632人评价,https://book.douban.com/subject/4820710/
《年华是无效信》,落落,女生间的微妙友谊,春风文艺出版社,2005-2,20.00元,7.6,39037人评价,https://book.douban.com/subject/1227838/
《幻夜》,〔日〕东野圭吾,《白夜行》续篇，恶的幻夜吞噬一切,南海出版公司,2009年9月,28.00元,7.6,39399人评价,https://book.douban.com/subject/4009552/
《在路上》,[美] 杰克·凯鲁亚克,我们非去不可，在到达之前，永不停止,上海译文出版社,2006-10,28.00元,7.8,38035人评价,https://book.douban.com/subject/1917972/
《射雕英雄传（全四册）》,金庸,侠之大者，为国为民,生活·读书·新知三联书店,1999-04,47.00元,8.9,32177人评价,https://book.douban.com/subject/1044547/
《明朝那些事儿（1-9）》,当年明月,不拘一格的历史书写,中国海关出版社,2009-4,358.20元,9.2,33592人评价,https://book.douban.com/subject/3674537/
《月亮忘記了》,幾米,月明星稀的晚上，看不见的，看见了,格林,2000-2-1,NT$ 299,8.5,35125人评价,https://book.douban.com/subject/1358873/
《明朝那些事儿（叁）》,当年明月,圣人般的王守仁，大娱乐家朱厚照,中国友谊出版公司,2007-4,24.80,8.9,34078人评价,https://book.douban.com/subject/2052448/
《哭泣的骆驼》,三毛,沙漠中寻常的生与死,哈尔滨出版社,2003-6,15.80元,8.9,29694人评价,https://book.douban.com/subject/1029111/
《原来你还在这里》,辛夷坞,还在的只有回忆,朝华出版社,2007-10,25.00元,7.7,37545人评价,https://book.douban.com/subject/2331434/
《半生缘》,张爱玲,世钧，我们回不去了,北京十月文艺出版社,2006-12,28.00元,8.6,34728人评价,https://book.douban.com/subject/1963684/
《此间的少年》,江南,象牙塔里的金庸群侠,华文出版社,2004-1,25.00元,8.3,35071人评价,https://book.douban.com/subject/1020459/
《货币战争》,宋鸿兵 编著,无所不能的罗斯柴尔德家族,中信出版社,2007-6,38.00元,7.3,38912人评价,https://book.douban.com/subject/2081876/
《佳期如梦》,匪我思存,玛丽苏成人童话,新世界出版社,2007-2,20.00元,8.0,35723人评价,https://book.douban.com/subject/1962929/
《人类简史》,[以色列]尤瓦尔·赫拉利,,中信出版社,2014-11-1,CNY 68.00,9.2,32867人评价,https://book.douban.com/subject/25985021/
《无人生还》,[英] 阿加莎・克里斯蒂,童谣杀人案,人民文学出版社,2008-3,19.00,8.9,33085人评价,https://book.douban.com/subject/3006581/
《一個人住第5年》,高木直子,独居生活之乐,大田,2004-12-1,NT$220,8.4,34301人评价,https://book.douban.com/subject/1346815/
《了不起的盖茨比》,菲茨杰拉德,梦，就像黛西家的那一缕绿光,人民文学出版社,2004-06,12.00元,8.3,34786人评价,https://book.douban.com/subject/1008988/
《时间旅行者的妻子》,[美] 奥德丽·尼芬格,在时间的缝隙中穿行，然后相遇,人民文学出版社,2007-4,29.90元,8.1,35072人评价,https://book.douban.com/subject/2056749/
《告别薇安》,安妮宝贝,七月与安生,中国社会科学出版社,2000-1,19.00,7.5,37099人评价,https://book.douban.com/subject/1016523/
《常识》,梁文道,献给这个常识稀缺的时代,广西师范大学出版社,2009-1,38.00,8.1,34799人评价,https://book.douban.com/subject/3344676/
《爱你就像爱生命》,王小波,王小波与李银河的两地书,上海锦绣文章出版社,2008-5,18.00元,8.8,33063人评价,https://book.douban.com/subject/3071717/
《撒哈拉的故事》,三毛,不枉来这世上走一遭,北京十月文艺出版社,2011-1-7,24.00元,9.3,31443人评价,https://book.douban.com/subject/6710437/
《步步惊心》,桐华,现世太苦，不如穿越回去从头来过,民族出版社,2006-6,25.00元,8.1,34439人评价,https://book.douban.com/subject/1812439/
《皮囊》,蔡崇达,皮囊之下，骨肉相连,天津人民出版社,2014-12-1,39.80元,7.7,35912人评价,https://book.douban.com/subject/26278687/
《二三事》,安妮宝贝,关于遗忘和记得的故事,南海出版公司,2004-1,20.00元,7.7,35531人评价,https://book.douban.com/subject/1058234/
《兄弟（下）》,余华,失控边缘的下部，但谁说荒诞就是不真,上海文艺出版社,2006-3,27.00元,7.5,36397人评价,https://book.douban.com/subject/1703544/
《孤独六讲》,蒋勋,作为一种美学的孤独,广西师范大学出版社,2009-10-1,36.00元,8.1,34300人评价,https://book.douban.com/subject/4124727/
《乌合之众》,(法)古斯塔夫.勒庞,群氓心理剖析,中央编译出版社,1998-01,16.00元,8.3,33293人评价,https://book.douban.com/subject/1012611/
《盗墓笔记2》,南派三叔,秦岭神树细思极恐,中国友谊出版公司,2007-4,26.80元,8.2,33201人评价,https://book.douban.com/subject/2057285/
《明朝那些事儿（肆）》,当年明月,大明朝当真名士如云,中国友谊出版公司,2007-9,24.80,8.8,31426人评价,https://book.douban.com/subject/2253642/
《失恋33天》,鲍鲸鲸,失恋是一种病，痊愈之后百毒不侵,中信出版社,2010-1,25.00元,8.0,33613人评价,https://book.douban.com/subject/4238754/
《动物农场》,[英] 乔治·奥威尔,太阳底下并无新事,上海译文出版社,2007-3,10.00元,9.2,30680人评价,https://book.douban.com/subject/2035179/
《左耳》,饶雪漫,当时只道是寻常,当代世界出版社,2006-2,22.00元,7.0,36605人评价,https://book.douban.com/subject/1469051/
《鹿鼎记（全五册）》,金庸,武侠的解构，流氓的狂欢,广州出版社 花城出版社,2008-3,108.00元,8.8,27201人评价,https://book.douban.com/subject/1212893/
《荆棘鸟》,[澳] 考琳·麦卡洛,澳洲乱世情,译林出版社,1998-7,28.00元,8.6,31178人评价,https://book.douban.com/subject/1086249/
《左手倒影，右手年华。》,郭敬明,明媚啊明媚,上海译文出版社,2003-5,16.00元,6.7,37587人评价,https://book.douban.com/subject/1006881/
《零下一度》,韩寒,青春期习作,上海人民出版社,2000-08,12.00,7.2,35551人评价,https://book.douban.com/subject/1034108/
《像少年啦飞驰》,韩寒,属于少年的日子飞驰而过,作家出版社,2002-1,16.00元,7.3,35209人评价,https://book.douban.com/subject/1009160/
《寻路中国》,[美] 彼得·海斯勒,中国在路上，非虚构写作所能达到的高度,上海译文出版社,2011-1,33.00元,9.0,29897人评价,https://book.douban.com/subject/5414391/
《被窝是青春的坟墓》,七堇年,“要有最朴素的生活，与最遥远的梦想“,长江文艺出版社,2007-11,22.00元,7.8,33121人评价,https://book.douban.com/subject/2339950/
《我们台湾这些年》,廖信忠,平民视角下的台湾大事记,重庆出版集团,2009-11,29.80元,7.4,34275人评价,https://book.douban.com/subject/4113090/
《1Q84 BOOK 3》,[日] 村上春树,兜了一大圈，村上还是回归了他的小确幸,南海出版公司,2011-1,39.50元,7.6,32933人评价,https://book.douban.com/subject/5502995/
《关于莉莉周的一切》,[日] 岩井俊二,残酷青春的艰难呼吸,天津人民出版社,2006-12,28.00元,7.7,32810人评价,https://book.douban.com/subject/1926700/
《机器猫哆啦A梦23》,藤子・F・不二雄,满满的回忆,吉林美术出版社,1999-12,8.00,9.4,27649人评价,https://book.douban.com/subject/1204889/
《阿Q正传》,鲁迅,哀其不幸，怒其不争,上海书店出版社,2003-7,14.50元,8.6,29352人评价,https://book.douban.com/subject/1088065/
《乖，摸摸头》,大冰,他人的生活总是比你的精彩,湖南文艺出版社,2014-9-1,36.00元,7.5,32172人评价,https://book.douban.com/subject/25984204/
《大地之灯》,七堇年,两代人的成长与救赎,长江文艺出版社,2007-1,22.00元,8.2,30328人评价,https://book.douban.com/subject/1963310/
《摆渡人》,[英]克莱儿·麦克福尔,,百花洲文艺出版社,2015-6-1,36.00,6.8,35250人评价,https://book.douban.com/subject/26356948/
《黄金时代》,王小波,永远生猛下去,陕西师范大学出版社,2009-07-01,23.00元,8.8,28759人评价,https://book.douban.com/subject/1082406/
《明朝那些事儿（伍）》,当年明月,内忧外患之际，你方唱罢我登场,中国友谊出版公司,2008-3,28.80,8.8,28598人评价,https://book.douban.com/subject/3009821/
《骆驼祥子》,老舍,如骆驼喘息般深刻的绝望,人民文学出版社,2000-3-1,12.00,8.2,30275人评价,https://book.douban.com/subject/1043815/
《盗墓笔记3》,南派三叔,逼近死亡的云顶天宫之旅,中国友谊出版公司,2007-11,26.80元,8.4,29541人评价,https://book.douban.com/subject/2298149/
《麦琪的礼物》,[美] 欧·亨利,日常的奇迹,上海社会科学院出版社,2003-7,25.00元,8.6,29190人评价,https://book.douban.com/subject/1051193/
《格林童话全集》,格林兄弟,许多隐晦,人民文学出版社,1994-11,21.45元,8.9,28375人评价,https://book.douban.com/subject/1043008/
《如何阅读一本书》,[美] 莫提默·J. 艾德勒,读书的方法论,商务印书馆,2004-1,38.00元,8.4,29559人评价,https://book.douban.com/subject/1013208/
《当我们谈论爱情时我们在谈论什么》,[美] 雷蒙德·卡佛,疏离而断裂，生活的冷与干涩,译林出版社,2010-1,22.00元,7.8,31154人评价,https://book.douban.com/subject/4010969/
《尘埃落定》,阿来,一个傻子的土司家族传奇,人民文学出版社,1998-3-1,22.0,8.4,29285人评价,https://book.douban.com/subject/1080309/
《水仙已乘鲤鱼去》,张悦然,暴食与减肥的桥段印象深刻,作家出版社,2005-1,19.00元,7.8,30669人评价,https://book.douban.com/subject/1018153/
《历史深处的忧虑》,林达,窥见美国社会的一扇窗,生活·读书·新知三联书店,1997-5,19.00元,9.0,27559人评价,https://book.douban.com/subject/1027191/
《嫌疑人X的献身》,东野圭吾,,南海出版公司,2014-6,35.00元,9.0,27499人评价,https://book.douban.com/subject/25924253/
《小时代2.0虚铜时代》,郭敬明,淳朴自贡少年十里洋场欲海翻波为哪般,长江文艺出版社,2010-1,26.80元,6.5,34344人评价,https://book.douban.com/subject/4038164/
《金锁记》,张爱玲,曹七巧就像希克厉，一个扭曲的英雄,哈尔滨出版社,2005-6,13.5元,8.5,28307人评价,https://book.douban.com/subject/3017857/
《你好，旧时光（上 下）》,八月长安,原作名切题,新世界出版社,2009-12,39.80元,8.8,27416人评价,https://book.douban.com/subject/4166819/
《东霓》,笛安,自毁而偏执的东霓,长江文艺出版社,2010-7-1,26.80元,8.1,29009人评价,https://book.douban.com/subject/4874131/
《海贼王》,尾田荣一郎,热血，梦想，希望,浙江人民美术出版社,2007-11,7.50元,9.5,25821人评价,https://book.douban.com/subject/1474773/
《那些回不去的年少时光》,桐华,所有你曾热爱却正在遗忘的人和事,江苏文艺出版社,2010-01,23.80元,8.5,27357人评价,https://book.douban.com/subject/4231381/
《孩子你慢慢来》,龙应台,我们现在怎样做母亲,生活·读书·新知三联书店,2009-12-1,28.00元,8.8,26912人评价,https://book.douban.com/subject/4207781/
《橙》,安东尼,定做一个刻着“不过如此”的章，盖在封面上,长江文艺出版社,2010-10,28.80元,8.3,27753人评价,https://book.douban.com/subject/5327697/
《悲惨世界（上中下）》,[法] 雨果,现实主义与浪漫主义的至高杰作,人民文学出版社,1992-6,66.00元,8.9,26487人评价,https://book.douban.com/subject/1205054/
《盗墓笔记4》,南派三叔,蛇沼鬼城，坑越挖越多了,中国友谊出版公司,2008-11,32.80元,8.4,27452人评价,https://book.douban.com/subject/3266344/
《巴别塔之犬》,[美] 卡罗琳·帕克丝特,超越语言与生死的爱,南海出版公司,2007-7,22.00元,7.7,29417人评价,https://book.douban.com/subject/2139305/
《香水》,[德] 帕·聚斯金德,恋味癖谋杀案,上海译文出版社,2005-5,20.00元,8.5,27077人评价,https://book.douban.com/subject/1292416/
《梦里花落知多少》,三毛,哀而不伤,北京十月文艺出版社,2007-6,28.00元,8.8,26495人评价,https://book.douban.com/subject/2070844/
《一只特立独行的猪》,王小波,生活就是个缓慢受锤的过程，至少还可以特立独行,北方文艺出版社,2006-4,18.80元,8.8,26394人评价,https://book.douban.com/subject/1767945/
《局外人》,[法] 阿尔贝·加缪,,上海译文出版社,2010-9,22.00元,9.0,26104人评价,https://book.douban.com/subject/4908885/
《一个人的朝圣》,【英】蕾秋·乔伊斯,,北京联合出版公司,2013-9-1,32.80,8.1,27807人评价,https://book.douban.com/subject/24934182/
《史蒂夫·乔布斯传》,[美] 沃尔特·艾萨克森,完美主义者的最高形态,中信出版社,2011-10-24,68.00元,8.7,26278人评价,https://book.douban.com/subject/6798611/
《看不见的城市》,[意大利]伊塔洛·卡尔维诺,每一座城市都只在想象中耸立，又在描述中坍圮,译林出版社,2006-8,16.00元,8.8,26098人评价,https://book.douban.com/subject/1863930/
《长恨歌》,王安忆,现代上海史诗,南海出版公司,2003-8,22.00元,8.2,27383人评价,https://book.douban.com/subject/1082349/
《匆匆那年（上下）》,九夜茴,不悔梦归处 只恨太匆匆,东方出版社,2008-1,29.00,8.3,26824人评价,https://book.douban.com/subject/2567919/
《草样年华》,孙睿,大学生活启蒙读物,远方出版社,2004-1,19.50元,7.2,29676人评价,https://book.douban.com/subject/1007334/
《往事并不如烟》,章诒和,知识分子的命运浮沉,人民文学出版社,2004-1,35.00元,8.6,26038人评价,https://book.douban.com/subject/1059336/
《蔷薇岛屿》,安妮宝贝,你们不会彼此遗忘。只会彼此消失,作家出版社,2002-8,18.00元,8.0,27320人评价,https://book.douban.com/subject/1063190/
《我的路》,寂地,忧郁的温暖,北方妇女儿童出版社,2004-10,20.00元,8.6,25815人评价,https://book.douban.com/subject/1431836/
《菊与刀》,（美）鲁思・本尼迪克特,复杂矛盾的日本民族,商务印书馆,1990-6,16.00,8.2,26848人评价,https://book.douban.com/subject/1022238/
《倾城之恋》,张爱玲,棋逢对手，心照不宣,北京十月文艺出版社,2006-12,29.80元,8.7,25686人评价,https://book.douban.com/subject/1985223/
《刀锋》,[英]毛姆,,上海译文出版社,2007-3,18.00元,9.0,24976人评价,https://book.douban.com/subject/2035162/
《球状闪电》,刘慈欣,量子之外，没有真相,四川科学技术出版社,2005-6,22.00元,8.7,25454人评价,https://book.douban.com/subject/1192090/
《谁动了我的奶酪？》,[美] 斯宾塞·约翰逊,鸡汤文始祖,中信出版社,2001-9,16.80元,7.2,28875人评价,https://book.douban.com/subject/1021056/
《飞鸟集》,[印] 罗宾德拉纳德·泰戈尔,淡泊，超脱,哈尔滨出版社,2004-6,16.80元,8.8,24949人评价,https://book.douban.com/subject/1058661/
《七夜雪》,沧月,抵不过时间,北京十月文艺出版社,2006-10,25.00元,8.5,25220人评价,https://book.douban.com/subject/1919201/
《曾有一个人，爱我如生命》,舒仪,一见嘉遇误终身,中国画报出版社,2009-3,23.80,7.6,27158人评价,https://book.douban.com/subject/3506871/
《那些年，我们一起追的女孩》,九把刀,那些年错过的大雨,花山文艺出版社,2007-1,20.00元,8.2,25837人评价,https://book.douban.com/subject/1958227/
《伊豆的舞女》,[日] 川端康成,静美又残酷，无限柔软的川端,广西师范大学出版社,2002-2,23.80元,8.1,25920人评价,https://book.douban.com/subject/1005521/
《世界尽头与冷酷仙境》,[日] 村上春树,交叉平行蒙太奇,上海译文出版社,2002-12,23.00元,8.5,24956人评价,https://book.douban.com/subject/1291809/
《傲慢与偏见》,[英] 奥斯丁,百般曲折，终成眷属,上海译文出版社,1996-12,11.00元,9.0,24019人评价,https://book.douban.com/subject/1401841/
《最初的爱情 最后的仪式》,[英] 伊恩·麦克尤恩,别被封面骗了,南京大学出版社,2010-2,22.00元,8.0,25955人评价,https://book.douban.com/subject/4011440/
《鬼吹灯之云南虫谷》,天下霸唱,恐虫症慎入,安徽文艺出版社,2006-11,26.80元,8.0,25747人评价,https://book.douban.com/subject/1926103/
《明朝那些事儿（柒）：大结局》,当年明月,大明崇祯万万年,中国海关出版社,2009年,29.80元,9.0,23819人评价,https://book.douban.com/subject/3626924/
《把时间当作朋友》,李笑来,,电子工业出版社,2009-6,32.00元,8.5,24703人评价,https://book.douban.com/subject/3609132/
《秘密》,[澳] 朗达·拜恩,吸引力法则,中国城市出版社,2008-11,32.00,7.3,27435人评价,https://book.douban.com/subject/3266968/
《天使与魔鬼》,[美] 丹.布朗,科学与宗教的大乱斗,人民文学出版社,2005-2,29.80元,8.1,25333人评价,https://book.douban.com/subject/1228110/
《拆掉思维里的墙》,古典,解放思想，实事求是,中国书店,2010-9,29.80元,7.9,25908人评价,https://book.douban.com/subject/4953695/
《明朝那些事儿（陆）》,当年明月,党争不息，西山日薄,中国海关出版社,2008-11,28.80,8.9,23838人评价,https://book.douban.com/subject/3274113/
《佛祖在一号线》,李海鹏,嬉笑怒骂的常识分子,文化艺术出版社,2010-6,25.00元,8.2,25147人评价,https://book.douban.com/subject/4872671/
《倚天屠龙记(共四册)》,金庸,不识张郎是张郎,三联书店,1999-04,0,8.5,24392人评价,https://book.douban.com/subject/1070851/
《阿狸·梦之城堡》,hans,治愈,上海锦绣文章出版社,2009-1,36.80元,9.0,23399人评价,https://book.douban.com/subject/3554154/
《杜拉拉2华年似水》,李可,杜拉拉跳槽记,陕西师范大学出版社,2009-1,28.00,7.3,27114人评价,https://book.douban.com/subject/3323987/
《不朽》,落落,所有须臾，化为不朽,长江文艺出版社,2007-12,22.00,7.6,26240人评价,https://book.douban.com/subject/2382705/
